date,region,indicator,frequency,value
2015,World,Non-OPEC Liquids Production and OPEC NGLs,Annual,63.975871539726
2018,World,Non-OPEC Liquids Production and OPEC NGLs,Quarterly,66.391136
2019,World,Non-OPEC Liquids Production and OPEC NGLs,Quarterly,69.736956
2021,World,Demand - Total non-OPEC supply and OPEC NGLs,Quarterly,29.3896941396975
2019,World,Oil-on-water,Quarterly,1012.4556376
2020,OPEC,"OPEC NGLs + 
non-conventional oils",Annual,5.04990689617486
2017,OPEC,OPEC NGL,Annual,5.06804077260274
2016,OPEC,OPEC NGL,Quarterly,
2021,Non-OPEC,Liquids Production (Excluding Processing gains),Annual,61.5271877369863
2019,Non-OPEC,Liquids Production (Excluding Processing gains),Quarterly,61.209104
2020,Non-OPEC,Liquids Production (Excluding Processing gains),Quarterly,59.202061
2021,OECD,Liquids Production,Quarterly,30.677468
2018,OECD,Commercial,Quarterly,2871.853
2019,OECD,Commercial,Quarterly,2878.44
2017,OECD,Oil-on-water,Annual,1025.0654376
2016,OECD,Oil-on-water,Quarterly,
2020,OECD,Commercial onland stocks,Quarterly,73.9406521283776
2020,Americas,OECD SPR,Quarterly,27.8133500280644
2020,US,Liquids Production,Quarterly,17.341445
2017,Canada,Liquids Production,Annual,4.85024112876712
2016,Chile,Liquids Production,Quarterly,
2016,Europe,Demand,Quarterly,
2020,Europe,Demand,Quarterly,11.009
2017,Europe,OECD onland commercial,Quarterly,71.4755508919202
2020,Europe,OECD SPR,Annual,37.5054943857246
2020,UK,Liquids Production,Annual,1.06787711202186
2021,UK,Liquids Production,Quarterly,0.904986
2021,UK,Liquids Production,Quarterly,1.004996
2020,Denmark,Liquids Production,Quarterly,0.071204
2019,Asia Pacific,Demand,Annual,7.7902
2019,Asia Pacific,Liquids Production,Annual,0.524397536986301
2020,Asia Pacific,Liquids Production,Quarterly,0.538829
2021,Asia Pacific,OECD onland commercial,Quarterly,49.3909123456088
2018,Asia Pacific,OECD SPR,Quarterly,52.9042486527134
2020,Australia,Liquids Production,Quarterly,0.503081
2015,Other Asia Pacific,Liquids Production,Annual,0.0817698109589041
2017,Other Asia Pacific,Liquids Production,Annual,0.074435898630137
2021,Non-OECD,Demand,Quarterly,52.6548274760913
2018,Non-OECD,Liquids Production,Quarterly,13.517435
2021,Other Asia,Demand,Quarterly,8.963335687836
2020,India,Demand,Quarterly,4.83509499827936
2021,India,Liquids Production,Quarterly,0.754533
2021,Indonesia,Liquids Production,Annual,0.873387808219178
2021,Indonesia,Liquids Production,Quarterly,0.864268
2018,Malaysia,Liquids Production,Quarterly,0.725996
2020,Malaysia,Liquids Production,Quarterly,0.60294
2020,Vietnam,Liquids Production,Quarterly,0.219515
2016,Latin America,Demand,Annual,
2021,Brazil,Liquids Production,Quarterly,3.557177
2020,Ecuador,Liquids Production,Quarterly,0.52759
2020,Guyana,Liquids Production,Quarterly,0.09413
2018,Latin America others,Liquids Production,Annual,
2021,Latin America others,Liquids Production,Quarterly,0.321982
2016,Middle East,Liquids Production,Quarterly,
2018,Middle East,Liquids Production,Quarterly,3.238592
2021,Middle East,Liquids Production,Quarterly,3.198739
2015,Oman,Liquids Production,Annual,0.981156397260274
2015,Syria,Liquids Production,Quarterly,
2015,Cameroon,Liquids Production,Annual,0.0926409205479452
2018,Cameroon,Liquids Production,Quarterly,0.068663
2020,Cameroon,Liquids Production,Quarterly,0.072632
2019,Chad,Liquids Production,Quarterly,0.1184
2020,Egypt,Liquids Production,Quarterly,0.631667
2016,Sudans,Liquids Production,Annual,0.250210382513661
2018,Sudans,Liquids Production,Quarterly,0.223715
2019,Sudans,Liquids Production,Quarterly,0.251863
2019,Eurasia,Demand,Quarterly,5.03702888043382
2021,Eurasia,Liquids Production,Annual,0.346678931506849
2017,Russia,Liquids Production,Annual,11.3264469452055
2019,Russia,Liquids Production,Quarterly,11.530252
2020,Russia,Liquids Production,Quarterly,10.009796
2020,Kazakhstan,Liquids Production,Quarterly,1.773508
2018,Azerbaijan,Liquids Production,Annual,0.804980849315068
2020,Azerbaijan,Liquids Production,Quarterly,0.790555
2019,Other Europe,Liquids Production,Annual,0.119893246575342
2019,China,Demand,Annual,13.4847857420063
2020,China,Demand,Quarterly,13.2498274543501
2021,China,Demand,Quarterly,14.2666984846727
2017,China,Liquids Production,Annual,
2019,World,Demand,Quarterly,100.527739953044
2020,World,Demand,Quarterly,94.2763522702633
2016,World,Liquids Production,Quarterly,
2021,World,Non-OPEC Liquids Production and OPEC NGLs,Quarterly,70.430669
2018,World,Balance (stock change and miscellaneous),Annual,0.843580950423203
2020,World,Balance (stock change and miscellaneous),Quarterly,6.69686281603303
2018,World,Demand - Total non-OPEC supply and OPEC NGLs,Annual,30.5006870495768
2015,World,Oil-on-water,Quarterly,
2017,World,Oil-on-water,Quarterly,997.7304376
2018,OPEC,"OPEC NGLs + 
non-conventional oils",Quarterly,4.758032
2021,OPEC,OPEC NGL,Quarterly,5.218314
2016,OPEC,"OPEC crude oil production 
(secondary sources)",Annual,31.663242
2017,OPEC,"OPEC crude oil production 
(secondary sources)",Quarterly,
2017,OECD,"OECD closing stock levels, mb",Annual,4428.463
2016,OECD,SPR,Annual,33.629137012865
2020,OECD,SPR,Quarterly,36.0356074067147
2015,OECD,"Days of forward consumption in OECD, days",Quarterly,
2019,OECD,"Days of forward consumption in OECD, days",Quarterly,94.1379500796601
2015,OECD,Commercial onland stocks,Annual,63.6276958449916
2018,OECD,Commercial onland stocks,Quarterly,59.5372148922749
2017,Americas,Demand,Annual,
2018,Americas,Demand,Quarterly,25.7432629135885
2019,Americas,Liquids Production,Annual,
2018,Americas,Liquids Production,Quarterly,22.894324
2018,Americas,Liquids Production,Quarterly,23.351124
2015,Americas,OECD SPR,Quarterly,
2020,Americas,OECD SPR,Quarterly,27.582737223132
2019,US,Liquids Production,Annual,18.4254025068493
2020,US,Liquids Production,Quarterly,19.048255
2020,US,Liquids Production,Quarterly,17.303626
2017,Mexico,Liquids Production,Annual,2.23190700547945
2019,Mexico,Liquids Production,Annual,1.92370640547945
2021,Mexico,Liquids Production,Annual,1.93399398630137
2015,Europe,Demand,Annual,13.8275945205479
2020,Europe,Demand,Annual,
2018,Europe,Liquids Production,Annual,
2017,Europe,OECD SPR,Quarterly,33.221667013672
2019,Europe,OECD SPR,Quarterly,34.3976056338028
2019,Europe,OECD SPR,Quarterly,36.1552189562088
2016,UK,Liquids Production,Quarterly,
2018,Denmark,Liquids Production,Quarterly,0.108641
2021,Denmark,Liquids Production,Quarterly,0.072292
